"spkid","full_name"
20000001,"     1 Ceres (A801 AA)"
20000002,"     2 Pallas (A802 FA)"
20000003,"     3 Juno (A804 RA)"
20000004,"     4 Vesta (A807 FA)"
20000005,"     5 Astraea (A845 XA)"
20000006,"     6 Hebe (A847 NA)"
20000007,"     7 Iris (A847 PA)"
20000008,"     8 Flora (A847 UA)"
20000009,"     9 Metis (A848 HA)"
20000010,"    10 Hygiea (A849 GA)"
20000011,"    11 Parthenope (A850 JA)"
20000012,"    12 Victoria (A850 RA)"
20000013,"    13 Egeria (A850 VA)"
20000014,"    14 Irene (A851 KA)"
20000015,"    15 Eunomia (A851 OA)"
20000016,"    16 Psyche (A852 FA)"
20000018,"    18 Melpomene (A852 MA)"
20000019,"    19 Fortuna (A852 QA)"
20000020,"    20 Massalia (A852 SA)"
20000022,"    22 Kalliope (A852 WA)"
20000023,"    23 Thalia (A852 XA)"
20000024,"    24 Themis (A853 GA)"
20000028,"    28 Bellona (A854 EA)"
20000029,"    29 Amphitrite (A854 EB)"
20000031,"    31 Euphrosyne (A854 RA)"
20000034,"    34 Circe (A855 GA)"
20000035,"    35 Leukothea (A855 HA)"
20000036,"    36 Atalante (A855 TA)"
20000037,"    37 Fides (A855 TB)"
20000039,"    39 Laetitia (A856 CA)"
20000040,"    40 Harmonia (A856 FA)"
20000041,"    41 Daphne (A856 KA)"
20000042,"    42 Isis (A856 KB)"
20000045,"    45 Eugenia (A857 MA)"
20000046,"    46 Hestia (A857 QA)"
20000047,"    47 Aglaja (A857 RA)"
20000048,"    48 Doris (A857 SA)"
20000049,"    49 Pales (A857 SB)"
20000051,"    51 Nemausa (A858 BA)"
20000052,"    52 Europa (A858 CA)"
20000054,"    54 Alexandra (A858 RA)"
20000056,"    56 Melete (A857 RB)"
20000057,"    57 Mnemosyne (A859 SA)"
20000058,"    58 Concordia (A860 FA)"
20000059,"    59 Elpis (A860 RA)"
20000062,"    62 Erato (A860 RD)"
20000063,"    63 Ausonia (A861 CA)"
20000065,"    65 Cybele (A861 EB)"
20000068,"    68 Leto (A861 HB)"
20000069,"    69 Hesperia (A861 HC)"
20000070,"    70 Panopaea (A861 JA)"
20000074,"    74 Galatea (A862 QA)"
20000076,"    76 Freia (A862 UA)"
20000078,"    78 Diana (A863 EA)"
20000081,"    81 Terpsichore (A864 SA)"
20000083,"    83 Beatrix (A865 HA)"
20000085,"    85 Io (A865 SA)"
20000086,"    86 Semele (A866 AA)"
20000087,"    87 Sylvia (A866 KA)"
20000088,"    88 Thisbe (A866 LA)"
20000089,"    89 Julia (A866 PA)"
20000090,"    90 Antiope (A866 TA)"
20000091,"    91 Aegina (A866 VA)"
20000092,"    92 Undina (A867 NA)"
20000093,"    93 Minerva (A867 QA)"
20000094,"    94 Aurora (A867 RA)"
20000095,"    95 Arethusa (A867 WA)"
20000096,"    96 Aegle (A868 DA)"
20000097,"    97 Klotho (A868 DB)"
20000098,"    98 Ianthe (A868 HA)"
20000104,"   104 Klymene (A868 RB)"
20000106,"   106 Dione (A868 TA)"
20000107,"   107 Camilla (A868 WA)"
20000111,"   111 Ate (A870 PA)"
20000117,"   117 Lomia (A871 RB)"
20000120,"   120 Lachesis (A872 GB)"
20000121,"   121 Hermione (A872 JA)"
20000127,"   127 Johanna (A872 VB)"
20000128,"   128 Nemesis (A872 WA)"
20000129,"   129 Antigone (A873 CA)"
20000130,"   130 Elektra (A873 DA)"
20000134,"   134 Sophrosyne (A873 SA)"
20000137,"   137 Meliboea (A874 HA)"
20000139,"   139 Juewa (A874 TA)"
20000140,"   140 Siwa (A874 TB)"
20000141,"   141 Lumen (A875 AA)"
20000144,"   144 Vibilia (A875 LA)"
20000145,"   145 Adeona (A875 LB)"
20000146,"   146 Lucina (A875 LC)"
20000147,"   147 Protogeneia (A875 NA)"
20000150,"   150 Nuwa (A875 UA)"
20000153,"   153 Hilda (A875 VC)"
20000154,"   154 Bertha (A875 VD)"
20000156,"   156 Xanthippe (A875 WA)"
20000159,"   159 Aemilia (A876 BA)"
20000164,"   164 Eva (A876 NA)"
20000165,"   165 Loreley (A876 PA)"
20000168,"   168 Sibylla (A876 SA)"
20000171,"   171 Ophelia (A877 AB)"
20000173,"   173 Ino (A877 PA)"
20000176,"   176 Iduna (A877 TB)"
20000181,"   181 Eucharis (A878 CB)"
20000185,"   185 Eunike (A878 EA)"
20000187,"   187 Lamberta (A878 GB)"
20000190,"   190 Ismene (A878 SA)"
20000194,"   194 Prokne (A879 FA)"
20000196,"   196 Philomela (A879 JA)"
20000200,"   200 Dynamene (A879 OA)"
20000203,"   203 Pompeja (A879 SA)"
20000206,"   206 Hersilia (A879 TC)"
20000209,"   209 Dido (A879 UC)"
20000211,"   211 Isolda (A879 XA)"
20000212,"   212 Medea (A880 CA)"
20000216,"   216 Kleopatra (A880 GB)"
20000227,"   227 Philosophia (A882 PA)"
20000229,"   229 Adelinda (A882 QB)"
20000230,"   230 Athamantis (A882 RA)"
20000238,"   238 Hypatia (A884 NA)"
20000241,"   241 Germania (A884 RA)"
20000247,"   247 Eukrate (A885 EB)"
20000250,"   250 Bettina (A885 RA)"
20000259,"   259 Aletheia (A886 MA)"
20000260,"   260 Huberta (A886 TA)"
20000266,"   266 Aline (A887 KA)"
20000268,"   268 Adorea (A887 LA)"
20000275,"   275 Sapientia (A888 GB)"
20000276,"   276 Adelheid (A888 HA)"
20000279,"   279 Thule (A888 UA)"
20000283,"   283 Emma (A889 CA)"
20000303,"   303 Josephina (A891 CA)"
20000308,"   308 Polyxo (A891 FA)"
20000324,"   324 Bamberga (A892 DA)"
20000328,"   328 Gudrun (A892 FF)"
20000334,"   334 Chicago (A892 QB)"
20000344,"   344 Desiderata (A892 WA)"
20000349,"   349 Dembowska (A892 XB)"
20000350,"   350 Ornamenta (A892 XC)"
20000354,"   354 Eleonora (A893 BC)"
20000356,"   356 Liguria (A893 BE)"
20000357,"   357 Ninina (A893 CB)"
20000360,"   360 Carlova (A893 EE)"
20000361,"   361 Bononia (A893 EF)"
20000372,"   372 Palma (A893 QB)"
20000375,"   375 Ursula (A893 SB)"
20000381,"   381 Myrrha (A894 AC)"
20000386,"   386 Siegena (A894 EB)"
20000387,"   387 Aquitania (A894 EC)"
20000388,"   388 Charybdis (A894 ED)"
20000393,"   393 Lampetia (A894 VC)"
20000405,"   405 Thia (A895 OB)"
20000409,"   409 Aspasia (A895 XC)"
20000410,"   410 Chloris (A896 AC)"
20000419,"   419 Aurelia (A896 RF)"
20000420,"   420 Bertholda (A896 RC)"
20000423,"   423 Diotima (A896 XA)"
20000424,"   424 Gratia (A896 YD)"
20000426,"   426 Hippo (A897 RA)"
20000431,"   431 Nephele (A897 YB)"
20000444,"   444 Gyptis (A899 FA)"
20000451,"   451 Patientia (A899 XA)"
20000469,"   469 Argentina (A901 DC)"
20000471,"   471 Papagena (A901 LA)"
20000476,"   476 Hedwig (A901 QB)"
20000481,"   481 Emita (A902 CB)"
20000488,"   488 Kreusa (A902 MC)"
20000489,"   489 Comacina (A902 RD)"
20000490,"   490 Veritas (A902 RE)"
20000494,"   494 Virtus (A902 TF)"
20000505,"   505 Cava (A902 QA)"
20000506,"   506 Marion (A903 DB)"
20000508,"   508 Princetonia (A903 HC)"
20000511,"   511 Davida (A903 KB)"
20000514,"   514 Armida (A903 QC)"
20000517,"   517 Edith (A903 SK)"
20000521,"   521 Brixia (A904 AE)"
20000522,"   522 Helga (A904 AF)"
20000532,"   532 Herculina (A904 HE)"
20000536,"   536 Merapi (A904 JF)"
20000545,"   545 Messalina (A904 TC)"
20000566,"   566 Stereoskopia (A905 KA)"
20000588,"   588 Achilles (A906 DN)"
20000596,"   596 Scheila (A906 DL)"
20000602,"   602 Marianna (A906 DJ)"
20000617,"   617 Patroclus (A906 UL)"
20000618,"   618 Elfriede (A906 UM)"
20000624,"   624 Hektor (A907 CF)"
20000654,"   654 Zelinda (A908 AM)"
20000659,"   659 Nestor (A908 FE)"
20000663,"   663 Gerlinde (A908 MB)"
20000690,"   690 Wratislavia (A909 UE)"
20000694,"   694 Ekard (A909 VC)"
20000702,"   702 Alauda (A910 OA)"
20000704,"   704 Interamnia (A910 TC)"
20000705,"   705 Erminia (A910 TE)"
20000712,"   712 Boliviana (A911 FF)"
20000739,"   739 Mandeville (A913 CH)"
20000747,"   747 Winchester (A913 EK)"
20000748,"   748 Simeisa (A913 EL)"
20000751,"   751 Faina (A913 HE)"
20000762,"   762 Pulcova (A913 RD)"
20000772,"   772 Tanete (A913 YD)"
20000776,"   776 Berbericia (A914 BE)"
20000780,"   780 Armenia (A914 BJ)"
20000786,"   786 Bredichina (A914 HD)"
20000788,"   788 Hohensteina (A914 HE)"
20000790,"   790 Pretoria (A912 BE)"
20000791,"   791 Ani (A914 MB)"
20000804,"   804 Hispania (A915 FK)"
20000814,"   814 Tauris (A916 AE)"
20000884,"   884 Priamus (A917 SU)"
20000895,"   895 Helio (A918 NA)"
20000909,"   909 Ulla (A919 CA)"
20000911,"   911 Agamemnon (A919 FB)"
20001021,"  1021 Flammario (A924 EW)"
20001093,"  1093 Freda (1925 LA)"
20001143,"  1143 Odysseus (1930 BH)"
20001172,"  1172 Aneas (1930 UA)"
20001208,"  1208 Troilus (1931 YA)"
20001269,"  1269 Rollandia (1930 SH)"
20001437,"  1437 Diomedes (1937 PB)"
20001583,"  1583 Antilochus (1950 SA)"
20001867,"  1867 Deiphobus (1971 EA)"
20002060,"  2060 Chiron (1977 UB)"
20002241,"  2241 Alcathous (1979 WM)"
20003063,"  3063 Makhaon (1983 PV)"
20003317,"  3317 Paris (1984 KF)"
20003451,"  3451 Mentor (1984 HA1)"
20003793,"  3793 Leonteus (1985 TE3)"
20005145,"  5145 Pholus (1992 AD)"
20010199," 10199 Chariklo (1997 CU26)"
20015789," 15789 (1993 SC)"
20020000," 20000 Varuna (2000 WR106)"
20042355," 42355 Typhon (2002 CR46)"
20054598," 54598 Bienor (2000 QC243)"
20055576," 55576 Amycus (2002 GB10)"
20095626," 95626 (2002 GZ32)"
20127546,"127546 (2002 XU93)"
20136204,"136204 (2003 WL7)"
20310071,"310071 (2010 KR59)"
3554395,"       (2010 WG9)"
