"spkid","full_name"
20000001,"     1 Ceres (A801 AA)"
20000002,"     2 Pallas (A802 FA)"
20000003,"     3 Juno (A804 RA)"
20000004,"     4 Vesta (A807 FA)"
20000005,"     5 Astraea (A845 XA)"
20000006,"     6 Hebe (A847 NA)"
20000007,"     7 Iris (A847 PA)"
20000008,"     8 Flora (A847 UA)"
20000009,"     9 Metis (A848 HA)"
20000010,"    10 Hygiea (A849 GA)"
20000011,"    11 Parthenope (A850 JA)"
20000012,"    12 Victoria (A850 RA)"
20000013,"    13 Egeria (A850 VA)"
20000014,"    14 Irene (A851 KA)"
20000015,"    15 Eunomia (A851 OA)"
20000016,"    16 Psyche (A852 FA)"
20000017,"    17 Thetis (A852 HA)"
20000018,"    18 Melpomene (A852 MA)"
20000019,"    19 Fortuna (A852 QA)"
20000020,"    20 Massalia (A852 SA)"
20000021,"    21 Lutetia (A852 VA)"
20000022,"    22 Kalliope (A852 WA)"
20000023,"    23 Thalia (A852 XA)"
20000024,"    24 Themis (A853 GA)"
20000025,"    25 Phocaea (A853 GB)"
20000026,"    26 Proserpina (A853 JA)"
20000027,"    27 Euterpe (A853 VA)"
20000028,"    28 Bellona (A854 EA)"
20000029,"    29 Amphitrite (A854 EB)"
20000030,"    30 Urania (A854 OA)"
20000031,"    31 Euphrosyne (A854 RA)"
20000032,"    32 Pomona (A854 UA)"
20000033,"    33 Polyhymnia (A854 UB)"
20000034,"    34 Circe (A855 GA)"
20000035,"    35 Leukothea (A855 HA)"
20000036,"    36 Atalante (A855 TA)"
20000037,"    37 Fides (A855 TB)"
20000038,"    38 Leda (A856 AA)"
20000039,"    39 Laetitia (A856 CA)"
20000040,"    40 Harmonia (A856 FA)"
20000041,"    41 Daphne (A856 KA)"
20000042,"    42 Isis (A856 KB)"
20000043,"    43 Ariadne (A857 GA)"
20000044,"    44 Nysa (A857 KA)"
20000045,"    45 Eugenia (A857 MA)"
20000046,"    46 Hestia (A857 QA)"
20000047,"    47 Aglaja (A857 RA)"
20000048,"    48 Doris (A857 SA)"
20000049,"    49 Pales (A857 SB)"
20000050,"    50 Virginia (A857 TA)"
20000051,"    51 Nemausa (A858 BA)"
20000052,"    52 Europa (A858 CA)"
20000053,"    53 Kalypso (A858 GA)"
20000054,"    54 Alexandra (A858 RA)"
20000055,"    55 Pandora (A858 RB)"
20000056,"    56 Melete (A857 RB)"
20000057,"    57 Mnemosyne (A859 SA)"
20000058,"    58 Concordia (A860 FA)"
20000059,"    59 Elpis (A860 RA)"
20000060,"    60 Echo (A860 RB)"
20000061,"    61 Danae (A860 RC)"
20000062,"    62 Erato (A860 RD)"
20000063,"    63 Ausonia (A861 CA)"
20000064,"    64 Angelina (A861 EA)"
20000065,"    65 Cybele (A861 EB)"
20000066,"    66 Maja (A861 GA)"
20000067,"    67 Asia (A861 HA)"
20000068,"    68 Leto (A861 HB)"
20000069,"    69 Hesperia (A861 HC)"
20000070,"    70 Panopaea (A861 JA)"
20000071,"    71 Niobe (A861 PA)"
20000072,"    72 Feronia (A861 KA)"
20000073,"    73 Klytia (A862 GA)"
20000074,"    74 Galatea (A862 QA)"
20000075,"    75 Eurydike (A862 SA)"
20000076,"    76 Freia (A862 UA)"
20000077,"    77 Frigga (A862 VA)"
20000078,"    78 Diana (A863 EA)"
20000079,"    79 Eurynome (A863 RA)"
20000080,"    80 Sappho (A864 JA)"
20000081,"    81 Terpsichore (A864 SA)"
20000082,"    82 Alkmene (A864 WA)"
20000083,"    83 Beatrix (A865 HA)"
20000084,"    84 Klio (A865 QA)"
20000085,"    85 Io (A865 SA)"
20000086,"    86 Semele (A866 AA)"
20000087,"    87 Sylvia (A866 KA)"
20000088,"    88 Thisbe (A866 LA)"
20000089,"    89 Julia (A866 PA)"
20000090,"    90 Antiope (A866 TA)"
20000091,"    91 Aegina (A866 VA)"
20000092,"    92 Undina (A867 NA)"
20000093,"    93 Minerva (A867 QA)"
20000094,"    94 Aurora (A867 RA)"
20000095,"    95 Arethusa (A867 WA)"
20000096,"    96 Aegle (A868 DA)"
20000097,"    97 Klotho (A868 DB)"
20000098,"    98 Ianthe (A868 HA)"
20000099,"    99 Dike (A868 KA)"
20000100,"   100 Hekate (A868 NA)"
20000101,"   101 Helena (A868 PA)"
20000102,"   102 Miriam (A868 QA)"
20000103,"   103 Hera (A868 RA)"
20000104,"   104 Klymene (A868 RB)"
20000105,"   105 Artemis (A868 SA)"
20000106,"   106 Dione (A868 TA)"
20000107,"   107 Camilla (A868 WA)"
20000108,"   108 Hecuba (A869 GB)"
20000109,"   109 Felicitas (A869 TA)"
20000110,"   110 Lydia (A870 HA)"
20000111,"   111 Ate (A870 PA)"
20000112,"   112 Iphigenia (A870 SA)"
20000113,"   113 Amalthea (A871 EA)"
20000114,"   114 Kassandra (A871 OA)"
20000115,"   115 Thyra (A871 PA)"
20000116,"   116 Sirona (A871 RA)"
20000117,"   117 Lomia (A871 RB)"
20000118,"   118 Peitho (A872 EA)"
20000119,"   119 Althaea (A872 GA)"
20000120,"   120 Lachesis (A872 GB)"
20000121,"   121 Hermione (A872 JA)"
20000122,"   122 Gerda (A872 OA)"
20000123,"   123 Brunhild (A872 OB)"
20000124,"   124 Alkeste (A872 QA)"
20000125,"   125 Liberatrix (A872 RA)"
20000126,"   126 Velleda (A872 VA)"
20000127,"   127 Johanna (A872 VB)"
20000128,"   128 Nemesis (A872 WA)"
20000129,"   129 Antigone (A873 CA)"
20000130,"   130 Elektra (A873 DA)"
20000131,"   131 Vala (A873 KA)"
20000132,"   132 Aethra (A873 LA)"
20000133,"   133 Cyrene (A873 QA)"
20000134,"   134 Sophrosyne (A873 SA)"
20000135,"   135 Hertha (A874 DA)"
20000136,"   136 Austria (A874 FA)"
20000137,"   137 Meliboea (A874 HA)"
20000138,"   138 Tolosa (A874 KA)"
20000139,"   139 Juewa (A874 TA)"
20000140,"   140 Siwa (A874 TB)"
20000141,"   141 Lumen (A875 AA)"
20000142,"   142 Polana (A875 BA)"
20000143,"   143 Adria (A875 DA)"
20000144,"   144 Vibilia (A875 LA)"
20000145,"   145 Adeona (A875 LB)"
20000146,"   146 Lucina (A875 LC)"
20000147,"   147 Protogeneia (A875 NA)"
20000148,"   148 Gallia (A875 PA)"
20000149,"   149 Medusa (A875 SA)"
20000150,"   150 Nuwa (A875 UA)"
20000151,"   151 Abundantia (A875 VA)"
20000152,"   152 Atala (A875 VB)"
20000153,"   153 Hilda (A875 VC)"
20000154,"   154 Bertha (A875 VD)"
20000155,"   155 Scylla (A875 VE)"
20000156,"   156 Xanthippe (A875 WA)"
20000157,"   157 Dejanira (A875 XA)"
20000158,"   158 Koronis (A876 AA)"
20000159,"   159 Aemilia (A876 BA)"
20000160,"   160 Una (A876 DA)"
20000161,"   161 Athor (A876 HA)"
20000162,"   162 Laurentia (A876 HB)"
20000163,"   163 Erigone (A876 HC)"
20000164,"   164 Eva (A876 NA)"
20000165,"   165 Loreley (A876 PA)"
20000166,"   166 Rhodope (A876 PB)"
20000167,"   167 Urda (A876 QA)"
20000168,"   168 Sibylla (A876 SA)"
20000169,"   169 Zelia (A876 SB)"
20000170,"   170 Maria (A877 AA)"
20000171,"   171 Ophelia (A877 AB)"
20000172,"   172 Baucis (A877 CA)"
20000173,"   173 Ino (A877 PA)"
20000174,"   174 Phaedra (A877 RA)"
20000175,"   175 Andromache (A877 TA)"
20000176,"   176 Iduna (A877 TB)"
20000177,"   177 Irma (A877 VA)"
20000178,"   178 Belisana (A877 VB)"
20000179,"   179 Klytaemnestra (A877 VC)"
20000180,"   180 Garumna (A878 BA)"
20000181,"   181 Eucharis (A878 CB)"
20000182,"   182 Elsa (A878 CC)"
20000183,"   183 Istria (A878 CD)"
20000184,"   184 Dejopeja (A878 DA)"
20000185,"   185 Eunike (A878 EA)"
20000186,"   186 Celuta (A878 GA)"
20000187,"   187 Lamberta (A878 GB)"
20000188,"   188 Menippe (A878 MA)"
20000189,"   189 Phthia (A878 RA)"
20000190,"   190 Ismene (A878 SA)"
20000191,"   191 Kolga (A878 SB)"
20000192,"   192 Nausikaa (A879 DA)"
20000193,"   193 Ambrosia (A879 DB)"
20000194,"   194 Prokne (A879 FA)"
20000195,"   195 Eurykleia (A879 HA)"
20000196,"   196 Philomela (A879 JA)"
20000197,"   197 Arete (A879 KA)"
20000198,"   198 Ampella (A879 LA)"
20000199,"   199 Byblis (A879 NA)"
20000200,"   200 Dynamene (A879 OA)"
20000201,"   201 Penelope (A879 PA)"
20000202,"   202 Chryseis (A879 RA)"
20000203,"   203 Pompeja (A879 SA)"
20000204,"   204 Kallisto (A879 TA)"
20000205,"   205 Martha (A879 TB)"
20000206,"   206 Hersilia (A879 TC)"
20000207,"   207 Hedda (A879 UA)"
20000208,"   208 Lacrimosa (A879 UB)"
20000209,"   209 Dido (A879 UC)"
20000210,"   210 Isabella (A879 VA)"
20000211,"   211 Isolda (A879 XA)"
20000212,"   212 Medea (A880 CA)"
20000213,"   213 Lilaea (A880 DA)"
20000214,"   214 Aschera (A880 DB)"
20000215,"   215 Oenone (A880 GA)"
20000216,"   216 Kleopatra (A880 GB)"
20000217,"   217 Eudora (A880 QA)"
20000218,"   218 Bianca (A880 RA)"
20000219,"   219 Thusnelda (A880 SA)"
20000220,"   220 Stephania (A881 KA)"
20000221,"   221 Eos (A882 BA)"
20000222,"   222 Lucia (A882 CA)"
20000223,"   223 Rosa (A882 EA)"
20000224,"   224 Oceana (A882 FA)"
20000225,"   225 Henrietta (A882 HA)"
20000226,"   226 Weringia (A882 OA)"
20000227,"   227 Philosophia (A882 PA)"
20000229,"   229 Adelinda (A882 QB)"
20000230,"   230 Athamantis (A882 RA)"
20000231,"   231 Vindobona (A882 RB)"
20000232,"   232 Russia (A883 BA)"
20000233,"   233 Asterope (A883 JA)"
20000234,"   234 Barbara (A883 PA)"
20000235,"   235 Carolina (A883 WA)"
20000236,"   236 Honoria (A884 HA)"
20000237,"   237 Coelestina (A884 MA)"
20000238,"   238 Hypatia (A884 NA)"
20000239,"   239 Adrastea (A884 QA)"
20000240,"   240 Vanadis (A884 QB)"
20000241,"   241 Germania (A884 RA)"
20000242,"   242 Kriemhild (A884 SA)"
20000243,"   243 Ida (A884 SB)"
